id,name,city,country,continent,region,lon,lat,rank
GZP,Gazipaşa,Gazipaşa,Turkey,Asia,Western Asia,32.290278,36.298056,802
BOJ,Burgas,Burgas,Bulgaria,Europe,Eastern Europe,27.515278,42.569722,811
KGS,Kos Island International,Kos,Greece,Europe,Southern Europe,27.091667,36.793333,813
SBZ,Sibiu International,Sibiu,Romania,Europe,Eastern Europe,24.091389,45.785556,817
NSI,Yaoundé Nsimalen International,Yaoundé,Cameroon,Africa,Central Africa,11.553333,3.7225,818
SDR,Santander,Santander,Spain,Europe,Southern Europe,-3.82,43.426944,824
MLH,Mulhouse/Basel EuroAirport French FR,Basel,Switzerland,Europe,Central Europe,7.529167,47.600833,829
DHM,Dharamsala airport,Dharamshala,India,Asia,Southern Asia,76.260556,32.165278,831
PSR,Abruzzo,Pescara,Italy,Europe,Southern Europe,14.186667,42.431667,832
HAS,Ha il Regional,Ha il,Saudi Arabia,Asia,Western Asia,41.686389,27.438056,834
SZG,Salzburg,Salzburg,Austria,Europe,Central Europe,13.004444,47.793333,835
ABZ,Aberdeen,Aberdeen,United Kingdom,Europe,Northern Europe,-2.200278,57.204167,836
JNX,Naxos Island National,Naxos,Greece,Europe,Southern Europe,25.368611,37.082222,841
COO,Cadjehoun,Cotonou,Benin,Africa,Western Africa,2.384444,6.357222,842
NIM,Diori Hamani International,Niamey,Niger,Africa,Western Africa,2.176667,13.481111,844
NJF,Al Najaf International,Najaf,Iraq,Asia,Western Asia,44.404167,31.989722,849
SXR,Srinagar International,Srinagar,India,Asia,Southern Asia,74.774167,33.987222,850
JUB,Juba International,Juba,South Sudan,Africa,Eastern Africa,31.601111,4.871944,858
ARK,Arusha,Arusha,Tanzania,Africa,Eastern Africa,36.625,-3.367222,861
SMI,Samos International,Samos,Greece,Europe,Southern Europe,26.911667,37.69,862
BSR,Basra International,Basra,Iraq,Asia,Western Asia,47.662222,30.549167,868
AOI,Marche Airport,Ancona,Italy,Europe,Southern Europe,13.360278,43.616667,869
DIY,Diyarbakır,Diyarbakır,Turkey,Asia,Western Asia,40.201111,37.893889,871
OUA,Ouagadougou,Ouagadougou,Burkina Faso,Africa,Western Africa,-1.5125,12.353333,874
AAR,Aarhus,Aarhus,Denmark,Europe,Northern Europe,10.619444,56.303889,875
GRZ,Graz,Graz,Austria,Europe,Central Europe,15.44,46.993611,879
